frame,timestamp,ear,drowsy
1,0.03,0.3285,0
2,0.07,0.3393,0
3,0.1,0.3398,0
4,0.13,0.3339,0
5,0.17,0.3326,0
6,0.2,0.3357,0
7,0.23,0.338,0
8,0.27,0.3352,0
9,0.3,0.3422,0
10,0.33,0.3367,0
11,0.37,0.3306,0
12,0.4,0.3268,0
13,0.43,0.324,0
14,0.47,0.3249,0
15,0.5,0.3367,0
16,0.53,0.3333,0
17,0.57,0.3345,0
18,0.6,0.3388,0
19,0.63,0.3376,0
20,0.67,0.3361,0
21,0.7,0.3245,0
22,0.73,0.3319,0
23,0.77,0.3379,0
24,0.8,0.3309,0
25,0.83,0.3303,0
26,0.87,0.3277,0
27,0.9,0.3308,0
28,0.93,0.3315,0
29,0.97,0.3436,0
30,1.0,0.3295,0
31,1.03,0.3249,0
32,1.07,0.3473,0
33,1.1,0.3374,0
34,1.13,0.3306,0
35,1.17,0.3304,0
36,1.2,0.3372,0
37,1.23,0.3377,0
38,1.27,0.3371,0
39,1.3,0.3341,0
40,1.34,0.3389,0
41,1.37,0.3364,0
42,1.4,0.3341,0
43,1.44,0.3399,0
44,1.47,0.3397,0
45,1.5,0.3335,0
46,1.54,0.3259,0
47,1.57,0.3395,0
48,1.6,0.3301,0
49,1.64,0.3332,0
50,1.67,0.3265,0
51,1.7,0.3297,0
52,1.74,0.3342,0
53,1.77,0.3367,0
54,1.8,0.3343,0
55,1.84,0.3374,0
56,1.87,0.3369,0
57,1.9,0.3417,0
58,1.94,0.337,0
59,1.97,0.331,0
60,2.0,0.333,0
61,2.04,0.3332,0
62,2.07,0.33,0
63,2.1,0.3232,0
64,2.14,0.3317,0
65,2.17,0.3247,0
66,2.2,0.3226,0
67,2.24,0.3372,0
68,2.27,0.3299,0
69,2.3,0.3338,0
70,2.34,0.3213,0
71,2.37,0.3339,0
72,2.4,0.323,0
73,2.44,0.3387,0
74,2.47,0.338,0
75,2.5,0.3403,0
76,2.54,0.3273,0
77,2.57,0.3319,0
78,2.6,0.329,0
79,2.64,0.3349,0
80,2.67,0.3346,0
81,2.7,0.3374,0
82,2.74,0.3322,0
83,2.77,0.3283,0
84,2.8,0.3275,0
85,2.84,0.3297,0
86,2.87,0.338,0
87,2.9,0.3449,0
88,2.94,0.3422,0
89,2.97,0.3413,0
90,3.0,0.3455,0
91,3.04,0.3363,0
92,3.07,0.3331,0
93,3.1,0.3397,0
94,3.14,0.3417,0
95,3.17,0.3372,0
96,3.2,0.3439,0
97,3.24,0.3189,0
98,3.27,0.1861,0
99,3.3,0.1171,0
100,3.34,0.2213,0
101,3.37,0.2746,0
102,3.4,0.2839,0
103,3.44,0.314,0
104,3.47,0.3142,0
105,3.5,0.3267,0
106,3.54,0.3235,0
107,3.57,0.3349,0
108,3.6,0.3348,0
109,3.64,0.3422,0
110,3.67,0.3363,0
111,3.7,0.3479,0
112,3.74,0.3503,0
113,3.77,0.3498,0
114,3.8,0.3512,0
115,3.84,0.3369,0
116,3.87,0.337,0
117,3.9,0.3411,0
118,3.94,0.3422,0
119,3.97,0.3412,0
120,4.01,0.3318,0
121,4.04,0.3439,0
122,4.07,0.3299,0
123,4.11,0.3392,0
124,4.14,0.3358,0
125,4.17,0.3452,0
126,4.21,0.3382,0
127,4.24,0.3383,0
128,4.27,0.3248,0
129,4.31,0.3339,0
130,4.34,0.336,0
131,4.37,0.3406,0
132,4.41,0.3413,0
133,4.44,0.345,0
134,4.47,0.3483,0
135,4.51,0.3417,0
136,4.54,0.3359,0
137,4.57,0.3392,0
138,4.61,0.3404,0
139,4.64,0.3407,0
140,4.67,0.3351,0
141,4.71,0.3455,0
142,4.74,0.3465,0
143,4.77,0.346,0
144,4.81,0.3453,0
145,4.84,0.3473,0
146,4.87,0.3399,0
147,4.91,0.3394,0
148,4.94,0.3472,0
149,4.97,0.3387,0
150,5.01,0.3329,0
151,5.04,0.3461,0
152,5.07,0.3369,0
153,5.11,0.339,0
154,5.14,0.3324,0
155,5.17,0.3211,0
156,5.21,0.3178,0
157,5.24,0.3331,0
158,5.27,0.3235,0
159,5.31,0.3229,0
160,5.34,0.322,0
161,5.37,0.319,0
162,5.41,0.3189,0
163,5.44,0.3188,0
164,5.47,0.318,0
165,5.51,0.3287,0
166,5.54,0.3385,0
167,5.57,0.3381,0
168,5.61,0.3324,0
169,5.64,0.3328,0
170,5.67,0.3263,0
171,5.71,0.3297,0
172,5.74,0.3356,0
173,5.77,0.3275,0
174,5.81,0.3333,0
175,5.84,0.3318,0
176,5.87,0.327,0
177,5.91,0.3362,0
178,5.94,0.334,0
179,5.97,0.3403,0
180,6.01,0.3371,0
181,6.04,0.3374,0
182,6.07,0.3384,0
183,6.11,0.3301,0
184,6.14,0.3365,0
185,6.17,0.3421,0
186,6.21,0.3425,0
187,6.24,0.338,0
188,6.27,0.3281,0
189,6.31,0.3253,0
190,6.34,0.3252,0
191,6.37,0.3331,0
192,6.41,0.3401,0
193,6.44,0.3335,0
194,6.47,0.3337,0
195,6.51,0.3282,0
196,6.54,0.339,0
197,6.57,0.3206,0
198,6.61,0.3233,0
199,6.64,0.3175,0
200,6.68,0.3216,0
201,6.71,0.3118,0
202,6.74,0.2943,0
203,6.78,0.294,0
204,6.81,0.2836,0
205,6.84,0.286,0
206,6.88,0.2936,0
207,6.91,0.293,0
208,6.94,0.2903,0
209,6.98,0.2955,0
210,7.01,0.2717,0
211,7.04,0.2555,0
212,7.08,0.1854,0
213,7.11,0.163,0
214,7.14,0.1026,0
215,7.18,0.0988,0
216,7.21,0.0811,0
217,7.24,0.0795,0
218,7.28,0.0688,0
219,7.31,0.0923,0
220,7.34,0.0832,0
221,7.38,0.0789,0
222,7.41,0.0842,0
223,7.44,0.0684,0
224,7.48,0.0777,0
225,7.51,0.0821,0
226,7.54,0.0759,1
227,7.58,0.0625,1
228,7.61,0.0878,1
229,7.64,0.0644,1
230,7.68,0.0753,1
231,7.71,0.0739,1
232,7.74,0.0729,1
233,7.78,0.0729,1
234,7.81,0.0627,1
235,7.84,0.0576,1
236,7.88,0.0616,1
237,7.91,0.0698,1
238,7.94,0.0695,1
239,7.98,0.0702,1
240,8.01,0.0747,1
241,8.04,0.0726,1
242,8.08,0.0718,1
243,8.11,0.0913,1
244,8.14,0.0997,1
245,8.18,0.0641,1
246,8.21,0.0744,1
247,8.24,0.074,1
248,8.28,0.0725,1
249,8.31,0.0871,1
250,8.34,0.0601,1
251,8.38,0.0583,1
252,8.41,0.0905,1
253,8.44,0.0854,1
254,8.48,0.0943,1
255,8.51,0.0836,1
256,8.54,0.0889,1
257,8.58,0.0601,1
258,8.61,0.0655,1
259,8.64,0.0654,1
260,8.68,0.0693,1
261,8.71,0.0885,1
262,8.74,0.084,1
263,8.78,0.0773,1
264,8.81,0.1038,1
265,8.84,0.0973,1
266,8.88,0.0628,1
267,8.91,0.089,1
268,8.94,0.071,1
269,8.98,0.0643,1
270,9.01,0.0672,1
271,9.04,0.0696,1
272,9.08,0.0844,1
273,9.11,0.0736,1
274,9.14,0.0606,1
275,9.18,0.085,1
276,9.21,0.089,1
277,9.24,0.0916,1
278,9.28,0.0675,1
279,9.31,0.0622,1
280,9.35,0.0593,1
281,9.38,0.0633,1
282,9.41,0.0687,1
283,9.45,0.0801,1
284,9.48,0.0556,1
285,9.51,0.0633,1
286,9.55,0.0602,1
287,9.58,0.0807,1
288,9.61,0.0608,1
289,9.65,0.0818,1
290,9.68,0.0858,1
291,9.71,0.0862,1
292,9.75,0.0702,1
293,9.78,0.0848,1
294,9.81,0.1039,1
295,9.85,0.0936,1
296,9.88,0.0849,1
297,9.91,0.0991,1
298,9.95,0.1059,1
299,9.98,0.0868,1
300,10.01,0.1045,1
301,10.05,0.0949,1
302,10.08,0.1201,1
303,10.11,0.1064,1
304,10.15,0.1153,1
305,10.18,0.1239,1
306,10.21,0.1348,1
307,10.25,0.0901,1
308,10.28,0.0851,1
309,10.31,0.1039,1
310,10.35,0.0568,1
311,10.38,0.0492,1
312,10.41,0.0554,1
313,10.45,0.0544,1
314,10.48,0.0737,1
315,10.51,0.1022,1
316,10.55,0.144,1
317,10.58,0.1508,1
318,10.61,0.1188,1
319,10.65,0.11,1
320,10.68,0.1252,1
321,10.71,0.1056,1
322,10.75,0.1344,1
323,10.78,0.0855,1
324,10.81,0.132,1
325,10.85,0.1343,1
326,10.88,0.1366,1
327,10.91,0.1456,1
328,10.95,0.1274,1
329,10.98,0.1405,1
330,11.01,0.1696,1
331,11.05,0.1509,1
332,11.08,0.1338,1
333,11.11,0.1125,1
334,11.15,0.1097,1
335,11.18,0.0864,1
336,11.21,0.0933,1
337,11.25,0.0705,1
338,11.28,0.1074,1
339,11.31,0.116,1
340,11.35,0.0911,1
341,11.38,0.1382,1
342,11.41,0.1256,1
343,11.45,0.1183,1
344,11.48,0.1183,1
345,11.51,0.1322,1
346,11.55,0.1357,1
347,11.58,0.1128,1
348,11.61,0.1536,1
349,11.65,0.1209,1
350,11.68,0.1166,1
351,11.71,0.1371,1
352,11.75,0.1184,1
353,11.78,0.1079,1
354,11.81,0.1199,1
355,11.85,0.1223,1
356,11.88,0.1269,1
357,11.91,0.1242,1
358,11.95,0.1328,1
359,11.98,0.1341,1
360,12.02,0.1222,1
361,12.05,0.113,1
362,12.08,0.15,1
363,12.12,0.1032,1
364,12.15,0.1179,1
365,12.18,0.1151,1
366,12.22,0.1275,1
367,12.25,0.1274,1
368,12.28,0.1017,1
369,12.32,0.1092,1
370,12.35,0.1129,1
371,12.38,0.1156,1
372,12.42,0.1479,1
373,12.45,0.1501,1
374,12.48,0.1569,1
375,12.52,0.119,1
376,12.55,0.1262,1
377,12.58,0.1278,1
378,12.62,0.1242,1
379,12.65,0.1307,1
380,12.68,0.1003,1
381,12.72,0.1138,1
382,12.75,0.1149,1
383,12.78,0.0915,1
384,12.82,0.1061,1
385,12.85,0.1118,1
386,12.88,0.1054,1
387,12.92,0.1233,1
388,12.95,0.1235,1
389,12.98,0.1087,1
390,13.02,0.104,1
391,13.05,0.0991,1
392,13.08,0.1126,1
393,13.12,0.1085,1
394,13.15,0.0957,1
395,13.18,0.0877,1
396,13.22,0.0877,1
397,13.25,0.1038,1
398,13.28,0.1125,1
399,13.32,0.1131,1
400,13.35,0.1068,1
401,13.38,0.0848,1
402,13.42,0.099,1
403,13.45,0.0949,1
404,13.48,0.139,1
405,13.52,0.1137,1
406,13.55,0.1114,1
407,13.58,0.073,1
408,13.62,0.1036,1
409,13.65,0.0952,1
410,13.68,0.1204,1
411,13.72,0.1044,1
412,13.75,0.1224,1
413,13.78,0.156,1
414,13.82,0.1667,1
415,13.85,0.1923,1
416,13.88,0.2046,1
417,13.92,0.2287,0
418,13.95,0.2503,0
419,13.98,0.2604,0
420,14.02,0.2631,0
421,14.05,0.2638,0
422,14.08,0.2783,0
423,14.12,0.2992,0
424,14.15,0.2889,0
425,14.18,0.2907,0
426,14.22,0.2858,0
427,14.25,0.2969,0
428,14.28,0.2853,0
429,14.32,0.2924,0
430,14.35,0.2921,0
431,14.38,0.2955,0
432,14.42,0.2869,0
433,14.45,0.305,0
434,14.48,0.3014,0
435,14.52,0.3019,0
436,14.55,0.3041,0
437,14.58,0.3098,0
438,14.62,0.319,0
439,14.65,0.3093,0
440,14.69,0.3138,0
441,14.72,0.3027,0
442,14.75,0.3146,0
443,14.79,0.307,0
444,14.82,0.3156,0
445,14.85,0.3129,0
446,14.89,0.3213,0
447,14.92,0.3207,0
448,14.95,0.3316,0
449,14.99,0.3149,0
450,15.02,0.3197,0
451,15.05,0.3211,0
452,15.09,0.3229,0
453,15.12,0.3249,0
454,15.15,0.322,0
455,15.19,0.3201,0
456,15.22,0.3305,0
457,15.25,0.3317,0
458,15.29,0.3239,0
459,15.32,0.3264,0
460,15.35,0.329,0
461,15.39,0.3315,0
462,15.42,0.3383,0
463,15.45,0.3349,0
464,15.49,0.3271,0
465,15.52,0.3323,0
466,15.55,0.3395,0
467,15.59,0.3382,0
468,15.62,0.3366,0
469,15.65,0.3355,0
470,15.69,0.3381,0
471,15.72,0.3409,0
472,15.75,0.3392,0
473,15.79,0.3462,0
474,15.82,0.33,0
475,15.85,0.3388,0
476,15.89,0.3327,0
477,15.92,0.3334,0
478,15.95,0.3376,0
479,15.99,0.3452,0
480,16.02,0.3345,0
481,16.05,0.3433,0
482,16.09,0.326,0
483,16.12,0.3312,0
484,16.15,0.3365,0
485,16.19,0.3348,0
486,16.22,0.3315,0
487,16.25,0.3306,0
488,16.29,0.3218,0
489,16.32,0.3363,0
490,16.35,0.3263,0
491,16.39,0.326,0
492,16.42,0.3274,0
493,16.45,0.3273,0
494,16.49,0.3322,0
495,16.52,0.3327,0
496,16.55,0.3311,0
497,16.59,0.3337,0
498,16.62,0.3446,0
499,16.65,0.3248,0
500,16.69,0.3287,0
501,16.72,0.3331,0
502,16.75,0.3288,0
503,16.79,0.3402,0
504,16.82,0.3252,0
505,16.85,0.3281,0
506,16.89,0.3316,0
507,16.92,0.3305,0
508,16.95,0.3359,0
509,16.99,0.3316,0
510,17.02,0.3327,0
511,17.05,0.3303,0
512,17.09,0.3359,0
513,17.12,0.3336,0
514,17.15,0.3327,0
515,17.19,0.3245,0
516,17.22,0.3302,0
517,17.25,0.3437,0
518,17.29,0.3363,0
519,17.32,0.3379,0
520,17.36,0.3339,0
521,17.39,0.335,0
522,17.42,0.337,0
523,17.46,0.3324,0
524,17.49,0.328,0
525,17.52,0.3324,0
526,17.56,0.3326,0
527,17.59,0.3332,0
528,17.62,0.3378,0
529,17.66,0.3284,0
530,17.69,0.3362,0
531,17.72,0.3318,0
532,17.76,0.3329,0
533,17.79,0.3302,0
534,17.82,0.3407,0
535,17.86,0.3252,0
536,17.89,0.3325,0
537,17.92,0.3325,0
538,17.96,0.3325,0
539,17.99,0.3289,0
540,18.02,0.3301,0
541,18.06,0.3244,0
542,18.09,0.3279,0
543,18.12,0.3353,0
544,18.16,0.3327,0
545,18.19,0.3444,0
546,18.22,0.3286,0
547,18.26,0.3369,0
548,18.29,0.3341,0
549,18.32,0.3333,0
550,18.36,0.3255,0
551,18.39,0.3327,0
552,18.42,0.3296,0
553,18.46,0.3162,0
554,18.49,0.3391,0
555,18.52,0.3248,0
556,18.56,0.3318,0
557,18.59,0.3272,0
